time,y,a,b,c,d,e,f,g,h,i,j,k
2017-06-07 13:30:00,,,,62.0130338761083,0.0,,97.64705882352942,95.8273381294964,78.89551699204623,0.0,0.0,
2017-06-07 14:30:00,,,,64.91250510465123,0.0,,97.64705882352942,95.71223021582735,80.9833694866231,0.0,0.0,
2017-06-07 15:30:00,,,,64.79844255331122,0.0,,97.64705882352942,95.53956834532374,81.2002892263196,0.0,0.0,
2017-06-07 16:30:00,,,,65.08254279692653,0.0,,97.64705882352942,95.76978417266187,78.70571221981206,0.0,0.0,
2017-06-07 17:30:00,,,,65.26900925174024,0.0,,97.64705882352942,95.53956834532374,81.2002892263196,0.0,0.0,
2017-06-07 18:30:00,,,,65.42261818147675,0.0,,97.64705882352942,95.42446043165468,79.4649313087487,0.0,0.0,
2017-06-07 19:30:00,,,,65.3182955393562,0.0,,97.64705882352942,95.33401849948612,78.48879248011556,0.0,0.0,
2017-06-07 20:30:00,,,,65.33801005440269,0.0,,97.64705882352942,96.0,76.93420101229248,0.0,0.0,
2017-06-07 21:30:00,,,,65.44855215662706,0.0,,97.64705882352942,95.53956834532374,80.83875632682614,0.0,0.0,
2017-06-07 22:30:00,,,,65.34211724503739,0.0,,97.64705882352942,96.05755395683454,77.18727404193768,0.0,0.0,
2017-06-07 23:30:00,,,,65.39985261053023,0.0,,97.64705882352942,95.99177800616648,71.07736804049145,0.0,0.0,
2017-06-08 00:30:00,,,,65.56472697743622,0.0,,97.64705882352942,95.8273381294964,74.40347071583517,0.0,0.0,
2017-06-08 01:30:00,89.05461269502646,,,65.00321534352528,0.0,,97.64705882352942,96.03288797533402,75.05422993492462,0.0,0.0,
2017-06-08 02:30:00,,,,61.841969386174505,0.0,,97.64705882352942,96.11510791366905,74.40347071583517,0.0,0.0,
2017-06-08 03:30:00,,,,61.96565449842975,0.0,,97.64705882352942,96.1562178828366,76.50036153289949,0.0,0.0,
2017-06-08 04:30:00,,,,61.62510972066402,0.0,,97.64705882352942,96.11510791366905,76.42805495300101,0.0,0.0,
